旅館の名称,住所,プラン名,部屋のタイプ,料理のプラン,価格,取得日,対象日
阿智村昼神温泉　ひるがみの森,長野県下伊那郡阿智村智里５６７－１０,"【早割45】45日前のご予約で3,300円もお得に宿泊★さきどり早割プラン",和室,朝・夕,"13,200円",8.24,8.25
阿智村昼神温泉　ひるがみの森,長野県下伊那郡阿智村智里５６７－１０,"【早割30】30日前のご予約で2,200円もお得に宿泊★さきどり早割プラン",和室,朝・夕,"14,300円",8.24,8.25
阿智村昼神温泉　ひるがみの森,長野県下伊那郡阿智村智里５６７－１０,【オンラインカード決済専用】スタンダード会席プラン！,和室,朝・夕,"16,500円",8.24,8.25
囲炉裏会席と樹氷の宿　不動温泉　華菱（はなびし）,長野県下伊那郡阿智村浪合２５４－１,◆お部屋フリープラン　華コース!  阿智村浪合は日本一の星空に認定されました。,和室,朝・夕,"9,500円",8.24,8.25
星降るログハウス,長野県下伊那郡平谷村１４４５－１,【温泉入浴券・朝食付】日本一の星空¨阿智村¨すぐ！ピザ窯・BBQ可能☆,その他,朝のみ,"6,000円",8.24,8.25
星降るログハウス,長野県下伊那郡平谷村１４４５－１,【温泉入浴券・朝食付】日本一の星空¨阿智村¨すぐ！ピザ窯・BBQ可能☆,その他,朝のみ,"8,500円",8.24,8.25
星降るログハウス,長野県下伊那郡平谷村１４４５－１,【温泉入浴券・朝食付】日本一の星空¨阿智村¨すぐ！ピザ窯・BBQ可能☆,その他,朝のみ,,8.24,8.25
昼神の棲　玄竹,長野県下伊那郡阿智村智里３３１－８,【二食付☆ナイトツアー】古民家風の棲で楽しむ星見の旅 ☆彡,和洋室,朝・夕,"45,800円",8.24,8.25
昼神の棲　玄竹,長野県下伊那郡阿智村智里３３１－８,【二食付☆ナイトツアー】古民家風の棲で楽しむ星見の旅 ☆彡,和洋室,朝・夕,"45,800円",8.24,8.25
昼神の棲　玄竹,長野県下伊那郡阿智村智里３３１－８,【二食付☆ナイトツアー】古民家風の棲で楽しむ星見の旅 ☆彡,和室,朝・夕,"45,800円",8.24,8.25
昼神温泉　ホテルはなや,長野県下伊那郡阿智村智里５３０－１,【はなや旬彩懐石】＜信州牛すき焼き＆手打ちそば＞が人気！星空を眺める24時間無料の「貸切露天風呂」,和室,朝・夕,"24,200円",8.24,8.25
昼神温泉　ホテルはなや,長野県下伊那郡阿智村智里５３０－１,★阿智村 日本一の星空ツアー★ゴンドラ乗車券＋バス送迎付【夕食17時限定：はなや旬彩懐石】,和洋室,朝・夕,"29,300円",8.24,8.25
昼神温泉　ホテルはなや,長野県下伊那郡阿智村智里５３０－１,■記念日■＜個室食確約＋お祝い会席＆ケーキ＞貸切露天風呂無料！特別な日に特別なサプライズを♪,和室,朝・夕,"29,700円",8.24,8.25
おとぎ亭　光風,長野県下伊那郡阿智村智里490,【#PremiumNight】×【参加無料】≪2食付≫【5大特典】夕食は網焼き会席＃感動星空＃阿智村＃SNS映え,和室,朝・夕,"37,400円",8.24,8.25
おとぎ亭　光風,長野県下伊那郡阿智村智里490,【#PremiumNight】×【参加無料】≪2食付≫【5大特典】#雲海玉手箱 #感動星空 #阿智村 #SNS映え,和室,朝・夕,"37,950円",8.24,8.25
おとぎ亭　光風,長野県下伊那郡阿智村智里490,【スタンダード】×【網焼き会席】≪2食付≫☆彡 夕食は地元食材を網焼き♪阿智村の星空と美肌の湯を愉しむ,和室,朝・夕,"41,250円",8.24,8.25
日長庵　桂月,長野県下伊那郡阿智村智里425,【スタンダード】×【■基本会席_花】≪2食付≫老舗料亭の会席料理と昼神の美肌の湯を愉しむ,和室,朝・夕,"20,900円",8.24,8.25
日長庵　桂月,長野県下伊那郡阿智村智里425,【星空さんぽ】×【阿智村の星】≪2食付≫■阿智村の星空と老舗料亭の会席に美肌の湯を愉しむ,和室,朝・夕,"21,450円",8.24,8.25
日長庵　桂月,長野県下伊那郡阿智村智里425,【じゃらんのお得な10日間】×【8月じゃらん限定】≪2食付≫【■基本会席】老舗料亭の会席と美肌湯を愉しむ,和室,朝・夕,"18,810円",8.24,8.25
旅館いち川,岐阜県恵那市大井町９５－１,【スタンダードプラン】料理長自慢！地元食材を使った旬の会席プラン☆安心の個室食《１泊２食付》,和室,朝・夕,"21,000円",8.24,8.25
旅館いち川,岐阜県恵那市大井町９５－１,【平日限定★ぎふ旅】早朝出発OK☆ゴルフ・山登り・お城巡りにもぴったり！特典あり《夕食のみ付》,和室,夕のみ,"18,000円",8.24,8.25
旅館いち川,岐阜県恵那市大井町９５－１,【素泊まり】恵那駅から徒歩約７分☆ビジネス＆レジャーにもぴったり！＜駐車場無料＞,和室,食事なし,"8,800円",8.24,8.25
ホテルルートイン中津川インター,中津川市手賀野３７５－１,★朝食バイキング付プラン★,シングル,朝のみ,"7,700円",8.24,8.25
ホテルルートイン中津川インター,中津川市手賀野３７５－１,のんびり11時チェックアウト★追加料金不要★,ツイン,朝のみ,"7,400円",8.24,8.25
